date,entry_time,entry_price,entry_strike,exit_time,exit_price,exit_strike,exit_reason,pnl,option_type
2026-02-03,2026-02-03 09:15:00+05:30,351.05,25800.0,2026-02-03 09:16:00+05:30,384.8,25800.0,Stop Loss,-33.75,CALL
2026-02-03,2026-02-03 09:17:00+05:30,304.7,25800.0,2026-02-03 09:18:00+05:30,305.4,25800.0,Stop Loss,-0.6999999999999886,PUT
2026-02-03,2026-02-03 09:21:00+05:30,417.35,25800.0,2026-02-03 09:22:00+05:30,426.05,25800.0,Stop Loss,-8.699999999999989,CALL
2026-02-03,2026-02-03 09:21:00+05:30,291.65,25800.0,2026-02-03 09:22:00+05:30,297.6,25800.0,Stop Loss,-5.9500000000000455,PUT
2026-02-03,2026-02-03 09:27:00+05:30,330.5,25800.0,2026-02-03 09:34:00+05:30,335.75,25800.0,Stop Loss,-5.25,PUT
2026-02-03,2026-02-03 09:28:00+05:30,403.2,25800.0,2026-02-03 15:29:00+05:30,300.0,25800.0,EOD,103.19999999999999,CALL
2026-02-03,2026-02-03 09:38:00+05:30,333.8,25800.0,2026-02-03 09:41:00+05:30,334.45,25800.0,Stop Loss,-0.6499999999999773,PUT
2026-02-03,2026-02-03 09:42:00+05:30,333.5,25800.0,2026-02-03 09:44:00+05:30,334.05,25800.0,Stop Loss,-0.5500000000000114,PUT
2026-02-03,2026-02-03 09:46:00+05:30,345.8,25800.0,2026-02-03 09:59:00+05:30,347.65,25800.0,Stop Loss,-1.849999999999966,PUT
2026-02-03,2026-02-03 10:01:00+05:30,340.65,25800.0,2026-02-03 10:02:00+05:30,340.9,25800.0,Stop Loss,-0.25,PUT
2026-02-03,2026-02-03 10:03:00+05:30,341.1,25800.0,2026-02-03 10:04:00+05:30,346.7,25800.0,Stop Loss,-5.599999999999966,PUT
2026-02-03,2026-02-03 10:06:00+05:30,356.85,25800.0,2026-02-03 10:07:00+05:30,367.55,25800.0,Stop Loss,-10.699999999999989,PUT
2026-02-03,2026-02-03 10:08:00+05:30,359.85,25800.0,2026-02-03 10:11:00+05:30,370.5,25800.0,Stop Loss,-10.649999999999977,PUT
2026-02-03,2026-02-03 10:12:00+05:30,362.85,25800.0,2026-02-03 15:29:00+05:30,276.3,25800.0,EOD,86.55000000000001,PUT
